,Author,Book
"Now, you two – this year, you behave yourselves. if i get one more owl telling me you've – you've blown up a toilet or –"" ""blown up a toilet? we've never blown up a toilet."" ""great idea though, thanks, mum. ― j.k. rowling, harry potter and the sorcerer's stone"," j.k. rowling, harry potter and the sorcerer's stone", harry potter and the sorcerer's stone
There are worse things than being alone but it often takes decades to realize this and most often when you do it's too late and there's nothing worse than too late ― charles bukowski, charles bukowski,no book found
"People are more difficult to work with than machines. and when you break a person, he can't be fixed. ― rick riordan, the battle of the labyrinth"," rick riordan, the battle of the labyrinth", the battle of the labyrinth
"Ah, said a voice from the doorway, having your annual ‘everyone thinks will is a lunatic’ meeting, are you? it’s biannual, said jem. and no, this is not that meeting. ― cassandra clare, clockwork prince"," cassandra clare, clockwork prince", clockwork prince
"People who claim that they're evil are usually no worse than the rest of us... it's people who claim that they're good, or any way better than the rest of us, that you have to be wary of. ― gregory maguire, wicked: the life and times of the wicked witch of the west"," gregory maguire, wicked: the life and times of the wicked witch of the west", wicked: the life and times of the wicked witch of the west
"If she's amazing, she won't be easy. if she's easy, she won't be amazing. if she's worth it, you wont give up. if you give up, you're not worthy. ... truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for. ― bob marley, bob marley: guitar chord songbook"," bob marley, bob marley: guitar chord songbook", bob marley: guitar chord songbook
"Education is an admirable thing, but it is well to remember from time to time that nothing that is worth knowing can be taught. ― oscar wilde", oscar wilde,no book found
"If you're lonely when you're alone, you're in bad company. ― jean-paul sartre", jean-paul sartre,no book found
"To the stars who listen—and the dreams that are answered. ― sarah j. maas, a court of mist and fury"," sarah j. maas, a court of mist and fury", a court of mist and fury
"Dance, when you're broken open. dance, if you've torn the bandage off. dance in the middle of the fighting. dance in your blood. dance when you're perfectly free. ― rumi", rumi,no book found
"It isn't possible to love and part. you will wish that it was. you can transmute love, ignore it, muddle it, but you can never pull it out of you. i know by experience that the poets are right: love is eternal. ― e.m. forster, a room with a view"," e.m. forster, a room with a view", a room with a view
"Follow your heart, listen to your inner voice, stop caring about what others think. ― roy t. bennett, the light in the heart"," roy t. bennett, the light in the heart", the light in the heart
"Things we lose have a way of coming back to us in the end, if not always in the way we expect. ― jk rowling, harry potter and the order of the phoenix"," jk rowling, harry potter and the order of the phoenix", harry potter and the order of the phoenix
"If you're losing your soul and you know it, then you've still got a soul left to lose ― charles bukowski", charles bukowski,no book found
"I am a cage, in search of a bird. ― franz kafka", franz kafka,no book found
"And now that you don't have to be perfect, you can be good. ― john steinbeck, east of eden"," john steinbeck, east of eden", east of eden
"Mom. i have something to tell you. i’m undead. now, i know you may have some preconceived notions about the undead. i know you may not be comfortable with the idea of me being undead. but i’m here to tell you that undead are just like you and me … well, okay. possibly more like me than you. ― cassandra clare, city of ashes"," cassandra clare, city of ashes", city of ashes
